date,home_team,away_team,score,xg_home,xg_away,attendance,venue,match_report_url
2024-08-15,Granada,Albacete,1–2,,,13265,Estadio Nuevo Los Cármenes,
2024-08-16,CD Mirandés,Córdoba,1–0,,,3005,Estadio Municipal de Anduva,
2024-08-16,Cádiz,Zaragoza,0–4,,,16970,Estadio Nuevo Mirandilla,
2024-08-17,Eibar,Castellón,1–0,,,3538,Estadio Municipal de Ipurúa,
2024-08-17,Racing Ferrol,Málaga,2–2,,,7541,Estadio Municipal de A Malata,
2024-08-17,Dep La Coruña,Oviedo,0–1,,,25715,Estadio Abanca-Riazor,
2024-08-18,Racing Sant,Almería,2–2,,,19697,Campos de Sport de El Sardinero,
2024-08-18,Sporting Gijón,Levante,1–2,,,23319,Estadio Municipal El Molinón,
2024-08-18,Burgos,Cartagena,3–1,,,9642,Estadio Municipal de El Plantío,
2024-08-18,Elche,Huesca,0–1,,,15059,Estadio Manuel Martínez Valero,
2024-08-19,Eldense,Tenerife,2–1,,,4168,Estadio Municipal Nuevo Pepico Amat,
2024-08-23,Racing Sant,Eibar,2–2,,,19205,Campos de Sport de El Sardinero,
2024-08-23,Huesca,Dep La Coruña,2–1,,,6172,Estadio El Alcoraz,
2024-08-24,Racing Ferrol,Granada,0–1,,,7397,Estadio Municipal de A Malata,
2024-08-24,Sporting Gijón,Eldense,0–0,,,20890,Estadio Municipal El Molinón,
2024-08-24,Levante,Cádiz,1–1,,,14228,Estadio Ciudad de Valencia,
2024-08-24,Tenerife,Almería,0–1,,,14308,Estadio Heliodoro Rodríguez Lopéz,
2024-08-24,Málaga,CD Mirandés,1–1,,,26066,Estadio La Rosaleda,
2024-08-25,Albacete,Elche,1–0,,,11400,Estadio Carlos Belmonte,
2024-08-25,Castellón,Oviedo,0–0,,,13709,Estadio SkyFi Castalia,
2024-08-26,Cartagena,Zaragoza,1–2,,,8800,Estadio Municipal Cartagonova,
2024-08-26,Córdoba,Burgos,2–2,,,14415,Estadio Nuevo Arcángel,
2024-08-30,Granada,Huesca,1–3,,,15089,Estadio Nuevo Los Cármenes,
2024-08-30,Oviedo,Racing Sant,1–3,,,21514,Estadio Nuevo Carlos Tartiere,
2024-08-31,Cádiz,Tenerife,2–2,,,16518,Estadio Nuevo Mirandilla,
2024-08-31,Almería,Sporting Gijón,1–1,,,12787,UD Almería Stadium,
2024-08-31,Málaga,Albacete,2–1,,,25861,Estadio La Rosaleda,
2024-09-01,Dep La Coruña,Racing Ferrol,1–0,,,26452,Estadio Abanca-Riazor,
2024-09-01,Burgos,Castellón,0–2,,,9105,Estadio Municipal de El Plantío,
2024-09-01,Eldense,Cartagena,1–2,,,4830,Estadio Municipal Nuevo Pepico Amat,
2024-09-01,CD Mirandés,Zaragoza,0–0,,,4747,Estadio Municipal de Anduva,
2024-09-02,Eibar,Levante,2–2,,,5585,Estadio Municipal de Ipurúa,
2024-09-02,Elche,Córdoba,3–1,,,15264,Estadio Manuel Martínez Valero,
2024-09-06,Tenerife,Racing Sant,0–1,,,15284,Estadio Heliodoro Rodríguez Lopéz,
2024-09-07,Granada,Dep La Coruña,1–1,,,15308,Estadio Nuevo Los Cármenes,
2024-09-07,Sporting Gijón,Oviedo,3–1,,,25706,Estadio Municipal El Molinón,
2024-09-07,Huesca,Burgos,0–1,,,6024,Estadio El Alcoraz,
2024-09-07,Córdoba,Málaga,0–0,,,18110,Estadio Nuevo Arcángel,
2024-09-08,Racing Ferrol,CD Mirandés,0–0,,,6425,Estadio Municipal de A Malata,
2024-09-08,Cartagena,Levante,0–1,,,7963,Estadio Municipal Cartagonova,
2024-09-08,Eldense,Almería,1–0,,,4957,Estadio Municipal Nuevo Pepico Amat,
2024-09-08,Zaragoza,Elche,3–0,,,21024,Estadio de la Romareda,
2024-09-09,Castellón,Cádiz,1–3,,,13218,Estadio SkyFi Castalia,
2024-09-09,Albacete,Eibar,0–1,,,10433,Estadio Carlos Belmonte,
2024-09-13,Córdoba,Dep La Coruña,2–0,,,16435,Estadio Nuevo Arcángel,
2024-09-14,Levante,Eldense,3–1,,,14904,Estadio Ciudad de Valencia,
2024-09-14,Eibar,Tenerife,1–0,,,5030,Estadio Municipal de Ipurúa,
